Kod;Uprawnieni do głosowania;Ważnych kart;Oddane głosy;Trzecia Droga;Lewica;Prawo i Sprawiedliwość;Konfederacja;Koalicja Obywatelska;Data;Typ wyborów
1020000;128176;99786;98046;13167;9179;32748;6604;33143;2023-10-15;Sejmowe
1021000;24008;18153;17821;2523;1364;8004;1299;4058;2023-10-15;Sejmowe
1061000;499671;396163;392837;45657;50412;97825;20854;168992;2023-10-15;Sejmowe
1062000;53424;40115;39558;4873;3273;14161;2378;13737;2023-10-15;Sejmowe
1063000;35400;27979;27639;4343;2751;9145;1851;8518;2023-10-15;Sejmowe
1201000;81728;61796;60855;11450;2065;31630;4914;8666;2023-10-15;Sejmowe
1202000;70436;49221;48323;8077;1679;25387;4476;6708;2023-10-15;Sejmowe
1203000;93368;70039;69075;10088;5865;24663;4647;21772;2023-10-15;Sejmowe
1204000;44970;28278;27707;4237;698;17241;1979;2728;2023-10-15;Sejmowe
1205000;82316;56788;55793;8087;2142;28917;4475;9272;2023-10-15;Sejmowe
1206000;221819;173701;170905;28138;11170;67763;14616;43605;2023-10-15;Sejmowe
1207000;98010;71648;70416;9631;1759;42203;6059;6547;2023-10-15;Sejmowe
1208000;37909;26509;25948;3876;1534;13701;1976;3825;2023-10-15;Sejmowe
1209000;98121;75062;73865;12318;2750;36454;7010;12430;2023-10-15;Sejmowe
1210000;163827;121781;119819;11708;3192;70795;11059;14627;2023-10-15;Sejmowe
1211000;146968;97083;95137;10033;2979;50009;8773;16161;2023-10-15;Sejmowe
1212000;84150;63323;62241;9017;6217;26009;4422;14142;2023-10-15;Sejmowe
1213000;115061;88001;86825;12165;7028;33439;5960;24715;2023-10-15;Sejmowe
1214000;33742;23501;22935;4631;919;12240;1908;2601;2023-10-15;Sejmowe
1215000;64175;46007;45164;5886;1902;22869;4113;8681;2023-10-15;Sejmowe
1216000;152814;106607;104771;17133;3327;58720;8518;12665;2023-10-15;Sejmowe
1217000;58090;41445;40847;4854;1612;18205;3236;9714;2023-10-15;Sejmowe
1218000;121841;91279;89742;14128;4491;38883;7024;20810;2023-10-15;Sejmowe
1219000;103342;81543;80558;17636;4301;29656;6658;19428;2023-10-15;Sejmowe
1261000;613943;503101;498428;86662;64712;124957;37421;171227;2023-10-15;Sejmowe
