"Kod";"Nazwa";"ogółem;2018;[osoba]";"ogółem;2019;[osoba]";"ogółem;2020;[osoba]";"ogółem;2021;[osoba]";"ogółem;2022;[osoba]";"ogółem;2023;[osoba]";
2608000;"Powiat pińczowski";103;103;103;103;103;103;
2609000;"Powiat sandomierski";105;105;106;106;106;106;
2610000;"Powiat skarżyski";107;107;108;108;109;109;
2611000;"Powiat starachowicki";106;106;106;106;106;106;
2612000;"Powiat staszowski";102;102;102;102;102;102;
2613000;"Powiat włoszczowski";100;100;100;100;100;101;
2661000;"Powiat m. Kielce";113;113;114;115;115;115;
2801000;"Powiat bartoszycki";105;105;105;105;105;105;
2802000;"Powiat braniewski";100;100;101;101;101;101;
2803000;"Powiat działdowski";103;103;103;103;103;103;
2804000;"Powiat elbląski";100;100;99;99;99;99;
2805000;"Powiat ełcki";104;103;104;104;104;105;
2806000;"Powiat giżycki";104;105;105;105;105;105;
2807000;"Powiat iławski";102;102;102;102;102;102;
2808000;"Powiat kętrzyński";104;104;105;105;105;106;
2809000;"Powiat lidzbarski";103;103;104;104;105;105;
2810000;"Powiat mrągowski";104;104;105;105;105;105;
2811000;"Powiat nidzicki";101;101;101;101;101;101;
2812000;"Powiat nowomiejski";101;101;101;101;101;101;
2813000;"Powiat olecki";100;100;101;101;101;101;
2814000;"Powiat olsztyński";103;103;103;103;103;103;
2815000;"Powiat ostródzki";103;103;103;103;103;103;
2816000;"Powiat piski";101;101;101;101;101;101;
2817000;"Powiat szczycieński";102;102;102;102;102;102;
2818000;"Powiat gołdapski";101;101;101;101;102;102;
2819000;"Powiat węgorzewski";101;101;101;101;101;101;
2861000;"Powiat m. Elbląg";109;109;110;110;110;110;
2862000;"Powiat m. Olsztyn";115;115;115;115;115;115;
3001000;"Powiat chodzieski";104;104;104;104;104;105;
3002000;"Powiat czarnkowsko-trzcianecki";102;102;101;101;101;101;
3003000;"Powiat gnieźnieński";104;104;105;105;105;105;
3004000;"Powiat gostyński";102;102;102;102;101;102;
3005000;"Powiat grodziski";101;101;101;101;101;101;
3006000;"Powiat jarociński";105;105;105;105;105;105;
3007000;"Powiat kaliski";103;103;103;103;103;103;
3008000;"Powiat kępiński";101;102;102;102;102;102;
3009000;"Powiat kolski";104;104;104;104;104;104;
3010000;"Powiat koniński";101;101;101;101;101;101;
3011000;"Powiat kościański";104;104;104;104;104;104;
3012000;"Powiat krotoszyński";103;104;104;103;103;104;
3013000;"Powiat leszczyński";100;101;101;101;101;101;
3014000;"Powiat międzychodzki";101;101;102;102;102;101;
3015000;"Powiat nowotomyski";104;104;103;103;103;103;
3016000;"Powiat obornicki";102;102;102;102;102;102;
3017000;"Powiat ostrowski";104;105;104;105;105;105;
3018000;"Powiat ostrzeszowski";103;103;103;103;103;103;
3019000;"Powiat pilski";104;104;105;105;105;105;
3020000;"Powiat pleszewski";102;102;102;102;102;102;
3021000;"Powiat poznański";105;105;105;105;105;105;
3022000;"Powiat rawicki";103;103;103;103;103;103;
3023000;"Powiat słupecki";101;101;101;101;101;102;
3024000;"Powiat szamotulski";104;104;104;104;104;104;
3025000;"Powiat średzki";103;103;103;103;103;103;
3026000;"Powiat śremski";104;104;104;104;104;104;
3027000;"Powiat turecki";104;104;105;105;105;105;
3028000;"Powiat wągrowiecki";101;102;102;102;102;102;
3029000;"Powiat wolsztyński";103;103;103;104;104;104;
3030000;"Powiat wrzesiński";105;105;104;105;105;105;
3031000;"Powiat złotowski";102;102;102;102;102;103;
3061000;"Powiat m. Kalisz";115;115;115;115;115;115;
3062000;"Powiat m. Konin";111;112;113;113;113;114;
3063000;"Powiat m. Leszno";109;109;111;111;111;112;
3064000;"Powiat m. Poznań";114;114;114;114;114;114;
3201000;"Powiat białogardzki";104;104;104;103;104;104;
3202000;"Powiat choszczeński";101;101;102;101;102;102;
3203000;"Powiat drawski";104;104;104;104;104;104;
3204000;"Powiat goleniowski";103;102;102;103;103;103;
3205000;"Powiat gryficki";102;102;102;102;102;102;
3206000;"Powiat gryfiński";102;102;102;102;102;102;
3207000;"Powiat kamieński";104;104;104;105;105;105;
3208000;"Powiat kołobrzeski";108;109;109;109;110;110;
3209000;"Powiat koszaliński";101;101;101;100;100;101;
3210000;"Powiat myśliborski";103;104;103;103;103;103;
3211000;"Powiat policki";104;104;104;104;105;104;
3212000;"Powiat pyrzycki";100;100;101;100;101;101;
3213000;"Powiat sławieński";104;104;105;104;104;104;
3214000;"Powiat stargardzki";104;104;104;104;104;104;
3215000;"Powiat szczecinecki";106;106;105;105;105;105;
3216000;"Powiat świdwiński";102;102;103;103;103;103;
3217000;"Powiat wałecki";105;105;105;105;105;105;
3218000;"Powiat łobeski";100;100;101;101;101;102;
3261000;"Powiat m. Koszalin";112;112;112;112;113;113;
3262000;"Powiat m. Szczecin";110;111;111;111;111;111;
3263000;"Powiat m. Świnoujście";108;108;108;109;109;109;
