Kod;Stopa bezrobocia;Ludność w miastach;Saldo migracji;Dochody własne gminy per capita;Miesięczne wynagrodzenie brutto w relacji do średniej krajowej;Ludność na aptekę;Łóżka w szpitalach ogólnych;Współczynnik feminizacji;Mediana wieku
662000;10.057142857142859;100.0;-0.5418081139192932;-0.13087099991957452;82.6;-1.1415713210737195;0.04572010795244494;1.1420000000000001;45.1
663000;4.957142857142856;100.0;0.20342569970570684;1.1895759566754442;97.3;-1.1233637421130394;3.4973700020463028;1.167;42.2
664000;8.8;100.0;-0.4992915694240208;0.4224086485599983;88.8;-1.272857548316519;0.28468619393357214;1.14;43.7
801000;3.8714285714285714;33.48333333333333;0.4605950606040777;0.19603684350116352;91.9;1.9455716063910864;-0.3880022779165838;1.013;40.6
802000;7.4857142857142875;50.23666666666667;-0.174127584932087;-0.1686548736775643;86.1;0.4049229382286875;-0.42934955987427664;1.035;42.2
803000;8.685714285714285;51.63666666666666;-0.2187142233540956;0.13682001211437228;84.3;-0.42879251944456437;-0.2885567638747483;1.032;42.3
804000;6.228571428571428;65.25666666666666;-0.14307617603104533;-0.2879723697554274;86.4;0.37349090718077627;0.011264039654367668;1.055;42.2
805000;2.5571428571428574;63.77;-0.023966156246536773;0.8291929268550833;83.7;-0.7834569917260251;-0.383443475034069;1.045;40.9
806000;9.957142857142857;47.405;-0.2524726781593306;-0.20975312232660584;84.1;0.7120560464864775;-0.36202770335341783;1.0270000000000001;41.9
807000;5.257142857142857;42.019999999999996;-0.08797982998099191;0.018607307666859755;78.5;-0.8169972687588571;-0.11277780621871072;1.003;40.8
808000;3.4285714285714284;47.86666666666667;-0.1492864578112537;0.27536088256033564;88.5;1.3662831073526027;-0.2917373240253401;1.04;41.5
809000;7.1571428571428575;43.39000000000001;0.07348749630442479;0.10831638805132701;90.5;1.2115186861868208;-0.26099190923628646;1.028;41.1
810000;7.2857142857142865;59.99666666666666;-0.37938535966769066;-0.08480118893395484;80.9;-0.06952823774145882;-0.37729439207625826;1.05;42.7
811000;5.642857142857143;59.72833333333333;-0.38272935754934134;-0.13981981212541414;92.1;-0.6405754115661606;-0.11913892651989423;1.062;42.4
812000;8.028571428571428;49.77;-0.16855425512933594;-0.7620384583388631;81.2;0.1270177856709369;-0.4436620805519395;1.03;41.0
861000;2.6285714285714286;100.0;-0.41218838650673983;0.6158576630343856;87.4;-0.466645117810189;0.3424663700026557;1.117;43.4
862000;3.1;100.0;0.48400304577563213;1.5292993830082484;95.0;-0.7896859003178368;0.3843437453187804;1.113;42.5
1001000;5.1;56.03666666666666;-0.31983034977543645;2.6515467211183723;125.1;-0.41250152774290316;0.20305181673505046;1.045;41.5
