"Kod";"Nazwa";"ogółem;2018;[-]";"ogółem;2019;[-]";"ogółem;2020;[-]";"ogółem;2021;[-]";"ogółem;2022;[-]";"ogółem;2023;[-]";
2213000;"Powiat starogardzki";38,0;38,4;39,1;39,5;39,9;40,5;
2214000;"Powiat tczewski";39,2;39,6;40,3;40,6;41,1;41,6;
2215000;"Powiat wejherowski";37,1;37,5;37,9;38,3;38,7;39,2;
2216000;"Powiat sztumski";39,0;39,6;40,9;41,5;42,0;42,6;
2261000;"Powiat m. Gdańsk";41,6;41,7;40,5;40,7;41,0;41,3;
2262000;"Powiat m. Gdynia";43,2;43,5;43,2;43,5;43,9;44,4;
2263000;"Powiat m. Słupsk";43,5;43,9;44,6;45,0;45,4;46,0;
2264000;"Powiat m. Sopot";47,3;47,7;47,4;47,4;47,8;48,2;
2401000;"Powiat będziński";43,8;44,2;44,6;44,9;45,3;45,8;
2402000;"Powiat bielski";40,1;40,4;41,0;41,3;41,7;42,2;
2403000;"Powiat cieszyński";40,9;41,3;41,9;42,3;42,7;43,3;
2404000;"Powiat częstochowski";42,1;42,5;43,4;43,8;44,2;44,6;
2405000;"Powiat gliwicki";41,5;41,9;42,0;42,3;42,8;43,2;
2406000;"Powiat kłobucki";41,8;42,3;42,9;43,3;43,7;44,2;
2407000;"Powiat lubliniecki";41,0;41,3;41,9;42,2;42,7;43,2;
2408000;"Powiat mikołowski";40,3;40,6;40,9;41,2;41,7;42,1;
2409000;"Powiat myszkowski";42,8;43,2;44,1;44,5;45,0;45,5;
2410000;"Powiat pszczyński";38,5;38,9;39,4;39,8;40,2;40,8;
2411000;"Powiat raciborski";42,6;43,0;43,2;43,6;44,1;44,6;
2412000;"Powiat rybnicki";39,8;40,2;40,4;40,7;41,1;41,6;
2413000;"Powiat tarnogórski";42,5;42,8;42,9;43,1;43,5;44,0;
2414000;"Powiat bieruńsko-lędziński";39,7;40,1;40,4;40,7;41,1;41,6;
2415000;"Powiat wodzisławski";41,4;41,8;42,2;42,5;42,9;43,4;
2416000;"Powiat zawierciański";43,9;44,3;45,1;45,4;45,9;46,4;
2417000;"Powiat żywiecki";40,2;40,6;41,3;41,6;41,9;42,4;
2461000;"Powiat m. Bielsko-Biała";42,6;43,0;43,3;43,7;44,2;44,8;
2462000;"Powiat m. Bytom";43,1;43,5;43,4;43,7;44,1;44,6;
2463000;"Powiat m. Chorzów";42,4;42,6;42,9;43,2;43,6;44,1;
2464000;"Powiat m. Częstochowa";44,9;45,3;45,8;46,1;46,6;47,0;
